,Notas sobre jugadores,,,,,,,Notas sobre clubes,,,,,Notas sobre entrenadores,,,
ID,Jugador,Posición,Dorsal,ID Club,,,ID ,Club,Año de fundación,ID ciudad,,,ID,Entrenador,ID Club,
1,Kylian Mbappé,Delantero,9,1,,,1,Real Madrid,1902,1,,,1,Carlo Ancelotti,1,
2,Vinícius Júnior,Delantero,7,1,,,2,FC Barcelona,1899,2,,,2,Hansi Flick,2,
3,Robert Lewandowski,Delantero,9,2,,,3,Atlético de Madrid,1903,1,,,3,Diego Simeone,3,
4,Pedri,Centrocampista,8,2,,,4,Athletic Club,1898,3,,,4,Ernesto Valverde,4,
5,Antoine Griezmann,Delantero,7,3,,,5,Valencia CF,1919,4,,,5,Rubén Baraja,5,
6,Jan Oblak,Portero,13,3,,,6,Paris Saint-Germain,1970,5,,,6,Luis Enrique,6,
7,Nico Williams,Delantero,10,4,,,,,,,,,,,,
8,Unai Simón,Portero,1,4,,,,,,,,,,,,
9,José Luis Gayà,Defensa,14,5,,,,,,,,,,,,
10,Hugo Duro,Delantero,9,5,,,Notas sobre ciudades,,,,,,,,,
11,Ousmane Dembélé,Delantero,10,6,,,ID,Ciudades,Provincia,,,ID,Presidente,ID Club,,
12,Achraf Hakimi,Defensa,2,6,,,1,Madrid,Madrid,,,1,Florentino Pérez,1,,
,,,,,,,2,Barcelona,Barcelona,,,2,Joan Laporta,2,,
,,,,,,,3,Bilbao,Vizcaya,,,3,Enrique Cerezo,3,,
,,,,,,,4,Valencia,Valencia,,,4,Jon Uriarte,4,,
,,,,,,,5,París,Francia,,,5,Layhoon Chan,5,,
,,,,,,,,,,,,6,Nasser Al-Khelaifi,6,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
